"Country or Area","Year","Value","Value Footnotes"
"Hong Kong, China","2014","233.615177429955",""
"Hong Kong, China","2013","237.351877527473",""
"Hong Kong, China","2012","229.244625405662",""
"Hong Kong, China","2011","215.503809770616",""
"Hong Kong, China","2010","195.669219183053",""
"Hong Kong, China","2009","179.781601928377",""
"Hong Kong, China","2008","166.193623700571",""
"Hong Kong, China","2007","155.039837064014",""
"Hong Kong, China","2006","136.660246161335",""
"Hong Kong, China","2005","123.889285375614",""
"Hong Kong, China","2004","119.102901563585",""
"Hong Kong, China","2003","106.407914365195",""
"Hong Kong, China","2002","92.5296860756366",""
"Hong Kong, China","2001","83.803392317031",""
"Hong Kong, China","2000","79.6943104626994",""
"Hong Kong, China","1999","63.4974728289567",""
"Hong Kong, China","1998","48.1569369558796",""
"Hong Kong, China","1997","34.675525075144",""
"Hong Kong, China","1996","21.7017087298376",""
"Hong Kong, China","1995","12.9932990457479",""
"Hong Kong, China","1994","8.02096270478914",""
"Hong Kong, China","1993","4.87221620730594",""
"Hong Kong, China","1992","3.94724866326716",""
"Hong Kong, China","1991","3.23886971534546",""
"Hong Kong, China","1990","2.31120493942562",""
"Hong Kong, China","1989","1.5585642399909",""
"Hong Kong, China","1988","0.908356275470023",""
"Hong Kong, China","1987","0.50421865335884",""
"Hong Kong, China","1986","0.182245464593807",""
"Hong Kong, China","1985","0.0812589223220106",""
"Hong Kong, China","1984","0.0186899573439104",""
"Hong Kong, China","1983","0",""
"Hong Kong, China","1982","0",""
"Hong Kong, China","1981","0",""
"Hong Kong, China","1980","0",""
"Hong Kong, China","1979","0",""
"Hong Kong, China","1978","0",""
"Hong Kong, China","1977","0",""
"Hong Kong, China","1976","0",""
"Hong Kong, China","1975","0",""
"Hong Kong, China","1970","0",""
"Hong Kong, China","1965","0",""
"Hong Kong, China","1960","0",""

